nameseq,A_AAA,A_AAC,A_AAG,A_AAT,A_ACA,A_ACC,A_ACG,A_ACT,A_AGA,A_AGC,A_AGG,A_AGT,A_ATA,A_ATC,A_ATG,A_ATT,A_CAA,A_CAC,A_CAG,A_CAT,A_CCA,A_CCC,A_CCG,A_CCT,A_CGA,A_CGC,A_CGG,A_CGT,A_CTA,A_CTC,A_CTG,A_CTT,A_GAA,A_GAC,A_GAG,A_GAT,A_GCA,A_GCC,A_GCG,A_GCT,A_GGA,A_GGC,A_GGG,A_GGT,A_GTA,A_GTC,A_GTG,A_GTT,A_TAA,A_TAC,A_TAG,A_TAT,A_TCA,A_TCC,A_TCG,A_TCT,A_TGA,A_TGC,A_TGG,A_TGT,A_TTA,A_TTC,A_TTG,A_TTT,C_AAA,C_AAC,C_AAG,C_AAT,C_ACA,C_ACC,C_ACG,C_ACT,C_AGA,C_AGC,C_AGG,C_AGT,C_ATA,C_ATC,C_ATG,C_ATT,C_CAA,C_CAC,C_CAG,C_CAT,C_CCA,C_CCC,C_CCG,C_CCT,C_CGA,C_CGC,C_CGG,C_CGT,C_CTA,C_CTC,C_CTG,C_CTT,C_GAA,C_GAC,C_GAG,C_GAT,C_GCA,C_GCC,C_GCG,C_GCT,C_GGA,C_GGC,C_GGG,C_GGT,C_GTA,C_GTC,C_GTG,C_GTT,C_TAA,C_TAC,C_TAG,C_TAT,C_TCA,C_TCC,C_TCG,C_TCT,C_TGA,C_TGC,C_TGG,C_TGT,C_TTA,C_TTC,C_TTG,C_TTT,G_AAA,G_AAC,G_AAG,G_AAT,G_ACA,G_ACC,G_ACG,G_ACT,G_AGA,G_AGC,G_AGG,G_AGT,G_ATA,G_ATC,G_ATG,G_ATT,G_CAA,G_CAC,G_CAG,G_CAT,G_CCA,G_CCC,G_CCG,G_CCT,G_CGA,G_CGC,G_CGG,G_CGT,G_CTA,G_CTC,G_CTG,G_CTT,G_GAA,G_GAC,G_GAG,G_GAT,G_GCA,G_GCC,G_GCG,G_GCT,G_GGA,G_GGC,G_GGG,G_GGT,G_GTA,G_GTC,G_GTG,G_GTT,G_TAA,G_TAC,G_TAG,G_TAT,G_TCA,G_TCC,G_TCG,G_TCT,G_TGA,G_TGC,G_TGG,G_TGT,G_TTA,G_TTC,G_TTG,G_TTT,T_AAA,T_AAC,T_AAG,T_AAT,T_ACA,T_ACC,T_ACG,T_ACT,T_AGA,T_AGC,T_AGG,T_AGT,T_ATA,T_ATC,T_ATG,T_ATT,T_CAA,T_CAC,T_CAG,T_CAT,T_CCA,T_CCC,T_CCG,T_CCT,T_CGA,T_CGC,T_CGG,T_CGT,T_CTA,T_CTC,T_CTG,T_CTT,T_GAA,T_GAC,T_GAG,T_GAT,T_GCA,T_GCC,T_GCG,T_GCT,T_GGA,T_GGC,T_GGG,T_GGT,T_GTA,T_GTC,T_GTG,T_GTT,T_TAA,T_TAC,T_TAG,T_TAT,T_TCA,T_TCC,T_TCG,T_TCT,T_TGA,T_TGC,T_TGG,T_TGT,T_TTA,T_TTC,T_TTG,T_TTT,label
CP035288.1/517683-517574,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,1,3,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,1,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,2,1,0,1,0,1,1,0,1,0,2,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,Cis-reg
CP035288.1/871165-871263,0,1,1,0,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,1,1,2,1,1,0,0,0,0,0,0,1,1,0,2,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,2,0,1,0,1,2,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,Cis-reg
CP035288.1/2243502-2243601,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,0,2,0,0,1,0,1,1,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,3,0,1,0,0,0,1,1,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,1,1,0,0,1,0,1,3,Cis-reg
CP035288.1/1813691-1813793,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,3,0,1,0,1,2,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,Cis-reg
CP035288.1/263407-263306,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,2,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,1,0,0,1,2,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,2,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,Cis-reg
CP035288.1/1868360-1868237,1,2,1,3,0,0,0,3,0,0,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,2,1,1,2,1,0,0,1,2,2,1,1,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,2,2,0,0,1,2,0,0,2,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,2,2,0,Cis-reg
CP035288.1/1984836-1984734,2,1,2,1,0,0,0,0,2,0,1,1,2,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,Cis-reg
CP035288.1/677892-677988,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,1,0,0,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,1,0,1,1,1,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,1,1,2,1,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,Cis-reg
CP035288.1/1073128-1073237,2,0,1,0,1,2,0,0,1,0,1,0,1,0,2,0,1,0,0,0,2,1,1,2,1,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,2,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,2,Cis-reg
CP035288.1/15620-15720,0,0,3,0,0,1,0,0,0,1,1,0,1,0,0,0,3,1,1,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,1,0,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,2,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,Cis-reg
CP035288.1/2400987-2400885,2,0,1,5,1,0,2,0,1,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,1,1,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,1,2,0,1,0,0,0,0,0,Cis-reg
CP035288.1/1193293-1193468,1,1,3,1,0,0,0,0,2,0,2,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,1,1,1,1,4,3,4,0,3,1,0,0,1,0,3,1,0,2,3,1,1,2,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,2,2,0,0,1,0,0,0,2,2,0,1,2,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,1,1,1,3,0,0,1,0,1,0,0,3,0,0,0,3,2,1,0,1,2,1,5,2,0,0,0,2,1,0,1,1,1,0,0,0,1,0,1,0,3,0,2,0,2,0,0,0,2,0,1,0,2,0,0,1,0,1,0,1,2,1,1,0,1,1,1,2,2,0,2,1,Cis-reg
CP035288.1/1493834-1493655,0,0,2,4,0,0,0,1,1,2,1,1,2,0,2,1,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3,1,0,1,1,0,1,0,1,2,0,0,0,1,3,0,1,3,2,0,1,0,1,1,2,0,4,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,0,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,2,0,0,1,0,1,0,0,1,0,2,1,4,0,0,2,0,0,0,0,2,1,1,0,1,1,1,1,3,1,1,4,1,0,0,1,3,0,1,2,3,0,5,5,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0,2,0,2,1,0,2,0,1,0,0,1,2,1,0,2,2,0,1,0,Cis-reg
CP035288.1/2420502-2420898,6,1,3,2,4,0,2,6,5,1,2,5,1,0,5,3,4,1,1,1,0,0,0,0,1,1,1,1,1,0,0,2,2,0,2,3,1,1,0,2,2,4,1,1,3,1,1,5,4,1,1,4,2,0,0,1,6,1,3,4,4,0,0,8,0,1,2,1,0,0,1,0,0,0,0,0,4,0,1,2,1,2,0,2,0,1,0,0,1,1,0,1,1,0,3,0,0,0,2,1,0,0,1,2,1,0,0,1,3,0,0,2,0,3,0,2,2,1,0,0,0,0,1,0,4,1,3,2,6,0,3,2,0,1,0,2,0,1,1,2,1,2,0,3,1,1,0,1,0,0,1,2,0,0,0,2,0,0,0,2,2,0,2,1,0,0,0,0,0,0,0,3,3,1,1,3,3,4,0,3,0,0,1,0,2,1,1,2,4,1,3,4,7,3,2,4,7,0,1,1,1,3,2,2,4,1,4,4,0,4,3,0,1,0,1,0,1,1,0,2,0,1,3,3,3,0,2,3,2,2,3,0,1,0,0,0,1,1,1,2,4,3,2,5,3,0,2,0,2,0,2,2,6,3,2,5,Cis-reg
CP035288.1/1210742-1210983,1,2,3,2,1,0,1,1,6,1,1,1,3,2,3,1,0,1,2,4,0,1,1,0,0,0,0,2,0,0,0,1,4,1,3,1,0,0,1,0,1,0,0,2,4,1,2,1,2,0,1,5,1,0,0,1,3,1,0,0,2,2,1,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,0,2,0,2,2,0,0,1,1,0,0,1,2,2,2,0,2,1,0,0,3,2,2,0,4,0,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,2,1,1,0,1,0,1,1,0,1,0,1,2,0,1,1,1,1,2,0,0,0,0,0,0,0,2,1,2,0,1,0,2,0,5,5,0,0,0,1,1,1,0,3,2,1,0,4,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,3,4,1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,3,0,1,6,1,0,0,1,3,0,2,1,3,1,2,3,Cis-reg
CP035288.1/10989-11204,1,2,2,1,0,1,0,0,2,1,1,2,2,0,2,2,2,1,0,1,0,0,1,0,1,2,1,1,2,0,0,1,0,1,0,0,0,0,2,1,0,0,0,1,4,1,3,0,2,0,2,2,1,0,2,1,1,1,0,2,2,2,3,3,0,0,0,0,1,1,2,1,0,0,0,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,1,0,0,1,0,0,2,1,1,1,1,1,1,1,4,3,0,0,0,1,1,1,0,1,1,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,1,0,1,0,2,1,0,1,0,5,0,1,1,0,0,2,0,0,0,1,0,0,0,1,2,2,1,2,4,0,1,0,1,2,1,1,2,1,1,1,2,0,0,1,1,0,0,0,2,1,0,0,1,1,0,0,2,1,2,1,2,2,0,0,0,1,0,1,1,2,0,1,4,1,2,1,1,1,0,0,0,3,0,1,1,3,1,1,1,Cis-reg
CP035288.1/817671-817888,1,2,2,3,0,1,1,0,1,1,0,5,4,3,0,1,1,0,1,1,0,1,0,0,2,2,1,0,1,0,0,2,0,0,2,3,0,0,1,1,0,0,0,1,2,0,2,2,7,1,3,1,2,0,1,0,1,0,1,0,5,0,1,2,3,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,2,1,0,1,2,0,0,0,2,0,0,1,2,0,1,0,1,1,2,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,4,1,0,0,0,0,0,0,3,0,2,2,0,0,3,0,1,1,0,1,1,0,0,2,5,0,4,4,0,0,1,1,2,1,1,2,3,2,0,3,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,2,0,2,1,1,0,1,1,1,0,0,2,0,2,2,0,0,2,1,1,1,0,0,0,1,2,1,3,0,1,0,Cis-reg
CP035288.1/1321181-1321323,0,2,2,3,0,0,1,3,4,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,2,2,1,2,2,2,1,0,0,3,1,0,0,1,1,0,1,2,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,3,1,0,1,1,0,1,1,1,0,1,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,2,1,0,1,1,1,0,0,0,3,0,1,1,Cis-reg
CP035288.1/772033-772101,0,0,3,0,0,0,0,1,0,0,0,0,3,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1,0,0,0,0,0,0,1,2,0,2,1,Cis-reg
CP035288.1/1664232-1664190,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,Cis-reg
CP035288.1/2271970-2271823,1,2,0,1,2,0,0,1,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,2,0,1,1,2,1,0,0,1,0,0,0,0,0,0,2,0,3,0,1,2,0,0,0,0,2,1,0,1,2,0,3,2,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,2,0,1,1,0,1,0,2,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,1,3,1,1,2,0,1,0,2,1,0,0,0,1,1,2,5,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,2,1,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,1,1,1,0,0,2,1,0,0,3,0,2,6,Cis-reg
CP035288.1/1195234-1195357,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,2,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,2,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,2,2,Cis-reg
CP035288.1/1219421-1219497,0,1,0,1,2,0,0,0,0,0,1,0,2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,1,0,Cis-reg
